"Sample ID","Commod","Pesticide Code","Pesticide Name","Test Class","Concentration","LOD","pp_","Confirm 1","Confirm 2","Annotate","Quantitate","Mean","Extract","Determ","EPA Tolerance (ppm)","pesticide_name_clean"
"CO0403220012STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"CO0408230007STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"FL0402160056STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"FL0404190025STMI1","ST","ABC","Spinosad A","I",0.094,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"CO0405240001STMI1","ST","ABC","Spinosad A","I",0.074,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"CO0405240001STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","O","805","61","1","spinosad d"
"CO0406280008STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"FL0404190025STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","O","805","61","1","spinosad d"
"FL0405170023STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"FL0406210009STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","R","805","61","1","spinosad a"
"FL0406210056STMI1","ST","ABC","Spinosad A","I",0.12,0.021,"M","L",NA,NA,"PM","R","805","61","1","spinosad a"
"FL0406210056STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","R","805","61","1","spinosad d"
"FL0407210057STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"FL0412200044STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","ME","O","805","61","1","spinosad a"
"MI0405170004STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"MI0406210046STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","R","805","61","1","spinosad a"
"OH0404260205STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"OH0405240207STMI1","ST","ABC","Spinosad A","I",0.073,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"OH0405240207STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","O","805","61","1","spinosad d"
"OH0405240407STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"OH0406280400STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"OH0410250206STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","ME","O","805","61","1","spinosad a"
"OH0410250410STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","ME","O","805","61","1","spinosad a"
"TX0401260408STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"TX0405240103STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"WA0407260004STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"CO0504250001STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"FL0506200025STMI1","ST","ABC","Spinosad A","I",0.1,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"FL0506200025STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","O","805","61","1","spinosad d"
"MI0503210005STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"MI0506200027STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"MI0506200047STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","O","805","61","1","spinosad d"
"MI0506200047STMI1","ST","ABC","Spinosad A","I",0.099,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"MI0507180044STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"NY0502150071STMI1","ST","ABC","Spinosad A","I",0.091,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"NY0502150272STMI1","ST","ABC","Spinosad A","I",0.086,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"NY0504190098STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"MI0404190018STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"NY0405180113STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"NY0405180242STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"NY0406220079STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","R","805","61","1","spinosad a"
"OH0406280410STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"TX0404260409STMI1","ST","ABC","Spinosad A","I",0.081,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"TX0405240211STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"TX0405240408STMI1","ST","ABC","Spinosad A","I",0.079,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"TX0408230300STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"WI0408230119STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"FL0504180041STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"NY0502150071STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","O","805","61","1","spinosad d"
"NY0502150272STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","O","805","61","1","spinosad d"
"NY0506210262STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"TX0501240107STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"TX0504250030STMI1","ST","ABD","Spinosad D","I",0.089,0.02,"M","L",NA,NA,"PM","O","805","61","1","spinosad d"
"NY0507190262STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"NY0508160071STMI1","ST","ABC","Spinosad A","I",0.094,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"NY0508160071STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","O","805","61","1","spinosad d"
"NY0508160142STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"NY0508160254STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"TX0504250030STMI1","ST","ABC","Spinosad A","I",0.11,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"TX0504250103STMI1","ST","ABC","Spinosad A","I",0.11,0.021,"M","L",NA,NA,"PM","O","805","61","1","spinosad a"
"TX0504250103STMI1","ST","ABD","Spinosad D","I",0.033,0.02,"M","L",NA,"Q","PM","O","805","61","1","spinosad d"
"TX0509260201STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"TX0509260406STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"WA0506270001STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"WI0509260101STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"CA0803030470STCA1","ST","ABD","Spinosad D","I",0.001,6e-04,"M","LU",NA,"Q","M","O","556","52","1","spinosad d"
"CA0803030470STCA1","ST","ABC","Spinosad A","I",0.003,0.002,"M","LU",NA,"Q","M","O","556","52","1","spinosad a"
"CA0804300177STCA1","ST","ABD","Spinosad D","I",0.0025,6e-04,"M","LU",NA,NA,"M","O","556","52","1","spinosad d"
"CA0804300177STCA1","ST","ABC","Spinosad A","I",0.011,0.002,"M","LU",NA,NA,"M","O","556","52","1","spinosad a"
"CA0804300274STCA1","ST","ABD","Spinosad D","I",0.0052,6e-04,"M","LU",NA,NA,"M","O","556","52","1","spinosad d"
"CA0804300274STCA1","ST","ABC","Spinosad A","I",0.022,0.002,"M","LU",NA,NA,"M","O","556","52","1","spinosad a"
"CA0806180142STCA1","ST","ABC","Spinosad A","I",0.003,0.002,"M","LU",NA,"Q","M","O","556","52","1","spinosad a"
"CA0806180142STCA1","ST","ABD","Spinosad D","I",0.001,6e-04,"M","LU",NA,"Q","M","O","556","52","1","spinosad d"
"CA0806180485STCA1","ST","ABD","Spinosad D","I",0.001,6e-04,"M","LU",NA,"Q","M","O","556","52","1","spinosad d"
"CA0806180485STCA1","ST","ABC","Spinosad A","I",0.01,0.002,"M","LU",NA,NA,"M","O","556","52","1","spinosad a"
"CA0806180521STCA1","ST","ABC","Spinosad A","I",0.0096,0.002,"M","LU",NA,NA,"M","O","556","52","1","spinosad a"
"CA0807160487STCA1","ST","ABC","Spinosad A","I",0.042,0.002,"M","LU",NA,NA,"M","O","556","52","1","spinosad a"
"FL0801070023STMI1","ST","ABC","Spinosad A","I",0.0093,0.0054,"M","LU",NA,NA,"PM","O","805","52","1","spinosad a"
"FL0805190044STMI1","ST","ABC","Spinosad A","I",0.0097,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"FL0807210020STMI1","ST","ABC","Spinosad A","I",0.014,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"FL0808180009STMI1","ST","ABC","Spinosad A","I",0.019,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"MD0805280005STCA1","ST","ABD","Spinosad D","I",0.0048,6e-04,"M","LU",NA,NA,"M","O","556","52","1","spinosad d"
"MD0805280005STCA1","ST","ABC","Spinosad A","I",0.018,0.002,"M","LU",NA,NA,"M","O","556","52","1","spinosad a"
"MD0805280036STCA1","ST","ABD","Spinosad D","I",0.0091,6e-04,"M","LU",NA,NA,"M","O","556","52","1","spinosad d"
"MD0805280036STCA1","ST","ABC","Spinosad A","I",0.035,0.002,"M","LU",NA,NA,"M","O","556","52","1","spinosad a"
"MD0806180005STCA1","ST","ABC","Spinosad A","I",0.003,0.002,"M","LU",NA,"Q","M","O","556","52","1","spinosad a"
"MD0806180005STCA1","ST","ABD","Spinosad D","I",0.001,6e-04,"M","LU",NA,"Q","M","O","556","52","1","spinosad d"
"MD0807160001STCA1","ST","ABD","Spinosad D","I",0.0037,6e-04,"M","LU",NA,NA,"M","O","556","52","1","spinosad d"
"MI0804220035STMI1","ST","ABC","Spinosad A","I",0.0056,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"NY0801080017STMI1","ST","ABC","Spinosad A","I",0.0069,0.0054,"M","LU",NA,NA,"PM","O","805","52","1","spinosad a"
"NY0805200113STMI1","ST","ABC","Spinosad A","I",0.024,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"NY0805200128STMI1","ST","ABC","Spinosad A","I",0.0067,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"NY0805200269STMI1","ST","ABC","Spinosad A","I",0.009,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"NY0806170088STMI1","ST","ABC","Spinosad A","I",0.0069,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"NY0806170127STMI1","ST","ABC","Spinosad A","I",0.0089,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"NY0806170226STMI1","ST","ABC","Spinosad A","I",0.0088,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"NY0806170259STMI1","ST","ABC","Spinosad A","I",0.0088,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"OH0805270401STMI1","ST","ABC","Spinosad A","I",0.0066,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"OH0806230234STMI1","ST","ABC","Spinosad A","I",0.015,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"OH0806230401STMI1","ST","ABC","Spinosad A","I",0.0057,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"OH0808250107STMI1","ST","ABC","Spinosad A","I",0.0055,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"TX0804280421STMI1","ST","ABC","Spinosad A","I",0.011,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"WA0804280007STMI1","ST","ABC","Spinosad A","I",0.015,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"WI0805270103STMI1","ST","ABC","Spinosad A","I",0.0088,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"CA0904080089STCA1","ST","ABC","Spinosad A","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad a"
"CA0904080130STCA1","ST","ABC","Spinosad A","I",0.14,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad a"
"CA0904080130STCA1","ST","ABD","Spinosad D","I",0.03,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad d"
"CA0904080216STCA1","ST","ABD","Spinosad D","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad d"
"CA0904080216STCA1","ST","ABC","Spinosad A","I",0.014,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad a"
"CA0905050547STCA1","ST","ABC","Spinosad A","I",0.01,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad a"
"CA0906020140STCA1","ST","ABC","Spinosad A","I",0.031,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad a"
"CA0906020274STCA1","ST","ABD","Spinosad D","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad d"
"CA0907080410STCA1","ST","ABC","Spinosad A","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad a"
"CA0908050038STCA1","ST","ABD","Spinosad D","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad d"
"CA0908050038STCA1","ST","ABC","Spinosad A","I",0.018,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad a"
"TX0508220405STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"CA0806180521STCA1","ST","ABD","Spinosad D","I",0.0023,6e-04,"M","LU",NA,NA,"M","O","556","52","1","spinosad d"
"CA0807160487STCA1","ST","ABD","Spinosad D","I",0.0079,6e-04,"M","LU",NA,NA,"M","O","556","52","1","spinosad d"
"CO0806230006STMI1","ST","ABC","Spinosad A","I",0.036,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"MD0807160001STCA1","ST","ABC","Spinosad A","I",0.019,0.002,"M","LU",NA,NA,"M","O","556","52","1","spinosad a"
"MI0804220053STMI1","ST","ABC","Spinosad A","I",0.025,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"MI0805200035STMI1","ST","ABC","Spinosad A","I",0.0084,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"MI0805200084STMI1","ST","ABC","Spinosad A","I",0.019,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"OH0805270234STMI1P","ST","ABC","Spinosad A","I",0.0086,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"WI0807280114STMI1","ST","ABC","Spinosad A","I",0.0069,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"CA0906020084STCA1","ST","ABC","Spinosad A","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad a"
"CA0906020140STCA1","ST","ABD","Spinosad D","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad d"
"CA0906020274STCA1","ST","ABC","Spinosad A","I",0.019,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad a"
"CO0905260009STMI1","ST","ABD","Spinosad D","I",0.011,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"CO0901260005STMI1","ST","ABC","Spinosad A","I",0.0026,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"CO0905260009STMI1","ST","ABC","Spinosad A","I",0.049,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"CO0906220008STMI1","ST","ABC","Spinosad A","I",0.0021,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
